Model,RMSE,R2,Month,Target,FeatureSet
DeptClim,77.52286072480875,-43.33277347744534,11,HUMI,AVG
RF,11.308291726240945,0.13567763634176744,12,HUMI,AVG
HGB,11.642037015999103,0.08390672636260088,12,HUMI,AVG
Ridge,11.859233115424695,0.04940624942646987,12,HUMI,AVG
GlobalClim,75.72836084748504,-37.76134655610121,12,HUMI,AVG
DeptClim,75.92455768138548,-37.96245231631531,12,HUMI,AVG
Persist,76.80108832854543,-38.867269456682436,12,HUMI,AVG
RF,7.80978676113485,0.4291113536850103,2,HUMI,PRIMARY+SECONDARY
Ridge,8.127083430974334,0.38178079801799836,2,HUMI,PRIMARY+SECONDARY
HGB,8.249997730290488,0.36293945028381003,2,HUMI,PRIMARY+SECONDARY
Persist,73.13925452778778,-48.87014836712222,2,HUMI,PRIMARY+SECONDARY
GlobalClim,73.29441659735201,-49.28226569336213,2,HUMI,PRIMARY+SECONDARY
DeptClim,73.52648156981294,-49.601177445809206,2,HUMI,PRIMARY+SECONDARY
RF,9.830326215565467,0.34986293547995595,3,HUMI,PRIMARY+SECONDARY
Ridge,10.09304523948974,0.314648281926839,3,HUMI,PRIMARY+SECONDARY
HGB,10.122767898605098,0.31060580135532156,3,HUMI,PRIMARY+SECONDARY
Persist,73.28964401428597,-35.03404441323099,3,HUMI,PRIMARY+SECONDARY
GlobalClim,74.38498904890136,-36.22542569750669,3,HUMI,PRIMARY+SECONDARY
DeptClim,74.60302434834468,-36.443973883475024,3,HUMI,PRIMARY+SECONDARY
RF,12.16804460575547,0.19373800793396578,4,HUMI,PRIMARY+SECONDARY
Ridge,12.241240500739677,0.18400882461488932,4,HUMI,PRIMARY+SECONDARY
HGB,12.291651298468606,0.17727430046718406,4,HUMI,PRIMARY+SECONDARY
Persist,73.83510745765054,-29.19033751795301,4,HUMI,PRIMARY+SECONDARY
GlobalClim,76.55258226403794,-30.912019654268324,4,HUMI,PRIMARY+SECONDARY
DeptClim,76.78874021674787,-31.10921487302815,4,HUMI,PRIMARY+SECONDARY
RF,11.827643778532746,0.22746975687403703,5,HUMI,PRIMARY+SECONDARY
Ridge,12.025655912244432,0.2013866520757025,5,HUMI,PRIMARY+SECONDARY
HGB,12.094072381950115,0.19227384680416437,5,HUMI,PRIMARY+SECONDARY
Persist,75.82773082784182,-30.48993098760356,5,HUMI,PRIMARY+SECONDARY
GlobalClim,77.26041167240926,-31.963479949959755,5,HUMI,PRIMARY+SECONDARY
DeptClim,77.50423557157924,-32.17186523690758,5,HUMI,PRIMARY+SECONDARY
HGB,12.56380348883603,0.15142398933181622,6,HUMI,PRIMARY+SECONDARY
RF,12.668127078229663,0.13727317339011003,6,HUMI,PRIMARY+SECONDARY
Ridge,12.672520687161683,0.13667464109198835,6,HUMI,PRIMARY+SECONDARY
Persist,76.73879965099744,-30.60272666730701,6,HUMI,PRIMARY+SECONDARY
GlobalClim,77.17592763931897,-31.019326804289825,6,HUMI,PRIMARY+SECONDARY
DeptClim,77.41353866582202,-31.216794004473257,6,HUMI,PRIMARY+SECONDARY
RF,11.913138914137571,0.17567187118526006,7,HUMI,PRIMARY+SECONDARY
HGB,12.39408298712908,0.10777064602083808,7,HUMI,PRIMARY+SECONDARY
Ridge,12.43806630302306,0.1014268386677738,7,HUMI,PRIMARY+SECONDARY
GlobalClim,76.51349952923034,-33.00351707690041,7,HUMI,PRIMARY+SECONDARY
Persist,76.51350838994789,-33.014873678044964,7,HUMI,PRIMARY+SECONDARY
DeptClim,76.76646754877852,-33.22873281043326,7,HUMI,PRIMARY+SECONDARY
RF,11.358685817514946,0.1979608327518273,8,HUMI,PRIMARY+SECONDARY
HGB,11.904241116101879,0.11906709393944281,8,HUMI,PRIMARY+SECONDARY
Ridge,12.216602557528137,0.0722300674485653,8,HUMI,PRIMARY+SECONDARY
Persist,76.11219298956786,-35.222268068549965,8,HUMI,PRIMARY+SECONDARY
GlobalClim,76.46106949418245,-35.3429469390304,8,HUMI,PRIMARY+SECONDARY
DeptClim,76.68323501017089,-35.554450119655385,8,HUMI,PRIMARY+SECONDARY
RF,12.239147388233254,0.10675839217106142,9,HUMI,PRIMARY+SECONDARY
Ridge,12.756698743874749,0.029616922574548066,9,HUMI,PRIMARY+SECONDARY
HGB,12.839752476805572,0.016940242514138948,9,HUMI,PRIMARY+SECONDARY
Persist,75.82346275678572,-36.47039094336011,9,HUMI,PRIMARY+SECONDARY
GlobalClim,75.95646498580494,-33.40298325531962,9,HUMI,PRIMARY+SECONDARY
DeptClim,76.23669804883063,-33.657303616680885,9,HUMI,PRIMARY+SECONDARY
RF,11.508293612745323,0.08994152282580703,10,HUMI,PRIMARY+SECONDARY
HGB,11.787786848953226,0.04520094463370905,10,HUMI,PRIMARY+SECONDARY
Ridge,11.79354852391054,0.04426733659769411,10,HUMI,PRIMARY+SECONDARY
Persist,75.7204371679203,-39.445856063827186,10,HUMI,PRIMARY+SECONDARY
GlobalClim,77.2799268329343,-40.0374944271522,10,HUMI,PRIMARY+SECONDARY
DeptClim,77.47931214847233,-40.24952436580546,10,HUMI,PRIMARY+SECONDARY
RF,10.779172299744928,0.14289081597286746,11,HUMI,PRIMARY+SECONDARY
HGB,11.100127353902954,0.09108924197388613,11,HUMI,PRIMARY+SECONDARY
Ridge,11.445790295644619,0.033600069300591784,11,HUMI,PRIMARY+SECONDARY
Persist,76.75948940710542,-42.336245839516174,11,HUMI,PRIMARY+SECONDARY
GlobalClim,77.33166913226067,-43.11437076617402,11,HUMI,PRIMARY+SECONDARY
DeptClim,77.52286072480875,-43.33277347744534,11,HUMI,PRIMARY+SECONDARY
RF,11.463931108601507,0.11172205765877774,12,HUMI,PRIMARY+SECONDARY
HGB,11.862985209290727,0.048804645397721225,12,HUMI,PRIMARY+SECONDARY
Ridge,11.911595910099313,0.040993288177512466,12,HUMI,PRIMARY+SECONDARY
GlobalClim,75.72836084748504,-37.76134655610121,12,HUMI,PRIMARY+SECONDARY
DeptClim,75.92455768138548,-37.96245231631531,12,HUMI,PRIMARY+SECONDARY
Persist,76.80108832854543,-38.867269456682436,12,HUMI,PRIMARY+SECONDARY
